"chromosome","gene_name","start","end"
"1","5S_rRNA",182944365,182944490
"1","7SK",120228046,149290762
"1","A3GALT2",33306766,33321098
"1","AADACL3",12716110,12728760
"1","AADACL4",12644085,12667076
"1","ABCA4",93992834,94121148
"1","ABCB10",229516582,229558707
"1","ABCD3",94418389,94518666
"1","ABHD17AP1",148146395,148149566
"1","ABHD17AP3",214605470,214608840
"1","ABL2",179099330,179229684
"1","ACADM",75724431,75787575
"1","ACAP3",1292390,1309609
"1","ACBD3",226144679,226186741
"1","ACBD3-AS1",226148003,226155071
"1","ACBD6",180269653,180502954
"1","ACKR1",159204875,159206500
"1","ACOT11",54542257,54639192
"1","ACOT7",6264269,6393767
"1","ACP6",147629652,147670524
"1","ACTA1",229430365,229434104
"1","ACTBP11",223863726,223864851
"1","ACTBP12",92229018,92229435
"1","ACTG1P20",27325329,27325796
"1","ACTG1P21",77773865,77774864
"1","ACTG1P25",202861754,202875241
"1","ACTG1P4",103569553,103570674
"1","ACTL8",17755333,17827063
"1","ACTN2",236664141,236764631
"1","ACTN4P2",37776670,37779418
"1","ACTRT2",3021467,3022903
"1","ADAM15",155050566,155062775
"1","ADAM30",119893533,119896515
"1","ADAMTS4",161184302,161199054
"1","ADAMTSL4",150549369,150560937
"1","ADAMTSL4-AS1",150560202,150562115
"1","ADAMTSL4-AS2",150548562,150557724
"1","ADAR",154581695,154628013
"1","ADCY10",167809386,167914215
"1","ADGRB2",31727117,31764893
"1","ADGRL2",81306147,81993932
"1","ADGRL4",78889764,79282124
"1","ADH5P2",79521080,79522203
"1","ADH5P3",240170155,240171291
"1","ADIPOR1",202940826,202958572
"1","ADORA1",203090654,203167405
"1","ADORA2BP1",209744373,209745214
"1","ADORA3",111499429,111503633
"1","ADPRS",36088892,36093932
"1","ADSS2",244408494,244451909
"1","AGBL4",48532854,50023954
"1","AGBL4-AS1",49257411,49269285
"1","AGBL4-IT1",49374201,49472085
"1","AGL",99850361,99924023
"1","AGMAT",15571699,15585051
"1","AGO1",35869808,35930532
"1","AGO3",35930718,36072500
"1","AGO4",35808016,35857890
"1","AGRN",1020120,1056118
"1","AGT",230690776,230745576
"1","AGTRAP",11736084,11754802
"1","AHCTF1",246839098,246931948
"1","AHCYL1",109984765,110023742
"1","AHCYP8",248721993,248722201
"1","AHDC1",27534035,27604431
"1","AIDA",222668013,222713210
"1","AIM2",159061599,159187843
"1","AIMP1P2",172885947,172886258
"1","AJAP1",4654609,4792534
"1","AK2",33007986,33080996
"1","AK4",65147549,65232145
"1","AK5",77282019,77559966
"1","AKIRIN1",38991276,39006059
"1","AKNAD1",108815898,108963484
"1","AKR1A1",45550543,45570049
"1","AKR1B1P1",224574434,224575389
"1","AKR1D1P1",167519536,167520586
"1","AKR7A2",19303965,19312144
"1","AKR7A2P1",112923423,112924337
"1","AKR7A3",19282573,19288770
"1","AKR7L",19265982,19274194
"1","AKT3",243488233,243851079
"1","AKT3-IT1",243793205,243794400
"1","ALDH4A1",18871430,18902724
"1","ALDH9A1",165662216,165698562
"1","ALG14",94974405,95072951
"1","ALG14-AS1",95061596,95067545
"1","ALG6",63367575,63438553
"1","ALPL",21509397,21578410
"1","ALX3",110059870,110070672
"1","AMIGO1",109504178,109509738
"1","AMPD1",114673090,114695618
"1","AMPD2",109616104,109632051
"1","AMY1A",103655760,103664554
"1","AMY1B",103687415,103696454
"1","AMY1C",103745323,103758726
"1","AMY2A",103617427,103625780
"1","AMY2B",103553815,103579534
"1","AMYP1",103713723,103719871
"1","ANAPC10P1",52253621,52254176
"1","ANGEL2",212992182,213015867
"1","ANGPTL1",178849535,178871077
"1","ANGPTL3",62597520,62606313
"1","ANGPTL7",11189355,11195981
"1","ANKRD13C",70258999,70354734
"1","ANKRD34A",145959441,145964575
"1","ANKRD35",145866560,145885866
